ID,Price,Security_deposit,Cleaning_fee,Extra_people_price,accommodates,review_accuracy,review_cleanliness,review_checkin,review_communication,review_location,review_value,reviews_per_month,latitude,longitude,property_type,room_type,bathrooms,bedrooms,beds,bed_type,amentities_2,allston.nhbr,back_bay.nhbr,beacon_hill.nhbr,brighton.nhbr,dorchester.nhbr,downtown.nhbr,east_boston.nhbr,fenway.nhbr,jamica_plain.nhbr,south_boston.nhbr,south_end.nhbr,nhbr.others,cancellation_strict,cancellation_moderate,cancellation_flexible,instant_bookable
4588530,$150.00 ,$150.00 ,$50.00 ,$50.00 ,3,10,10,10,10,10,10,0.56,42.33745064,-71.07636722,Apartment,Entire home/apt,1,1,1,Real Bed,"['TV', 'Cable TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Free Parking on Premises', 'Pets live on this property', 'Cat(s)', 'Indoor Fireplace', 'Buzzer/Wireless Intercom', 'Heating', 'Washer', 'Dryer', 'Smoke Detector', 'Carbon Monoxide Detector', 'First Aid Kit', 'Fire Extinguisher', 'Essentials', 'Shampoo']",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
4593974,$39.00 ,$300.00 ,$50.00 ,$0.00 ,1,10,10,10,10,8,10,0.51,42.31645798,-71.07951953,Apartment,Private room,1,1,1,Real Bed,"['Internet', 'Wireless Internet', 'Kitchen', 'Free Parking on Premises', 'Gym', 'Hot Tub', 'Buzzer/Wireless Intercom', 'Heating', 'Smoke Detector', 'Carbon Monoxide Detector', 'Lock on Bedroom Door', 'Laptop Friendly Workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50']",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
4603588,$175.00 ,"$1,500.00 ",$150.00 ,$0.00 ,3,9,9,9,10,10,9,0.27,42.35361439,-71.07957868,Apartment,Entire home/apt,1,1,1,Real Bed,"['TV', 'Cable TV', 'Internet', 'Wireless Internet', 'Wheelchair Accessible', 'Kitchen', 'Elevator in Building', 'Buzzer/Wireless Intercom', 'Family/Kid Friendly', 'Smoke Detector', 'Carbon Monoxide Detector', 'Essentials', 'translation missing: en.hosting_amenity_49']",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4632511,$305.00 ,$100.00 ,$100.00 ,$0.00 ,4,10,9,10,9,10,9,1.09,42.36114287,-71.06521324,Condominium,Entire home/apt,1.5,2,2,Real Bed,"['TV', 'Cable TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Hot Tub', 'Buzzer/Wireless Intercom', 'Heating', 'Dryer', 'Smoke Detector', 'Carbon Monoxide Detector', 'Fire Extinguisher', 'Essentials', 'Shampoo', '24-Hour Check-in', 'Hangers', 'Hair Dryer', 'Iron', 'Laptop Friendly Workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50']",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
4638356,$85.00 ,$150.00 ,$10.00 ,$27.00 ,2,10,10,10,10,9,9,6.56,42.37712966,-71.03673317,House,Private room,1.5,1,1,Real Bed,"['TV', 'Cable TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Free Parking on Premises', 'Buzzer/Wireless Intercom', 'Heating', 'Washer', 'Dryer', 'Smoke Detector', 'Carbon Monoxide Detector', 'Essentials', 'Shampoo']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
4652263,$250.00 ,$500.00 ,$100.00 ,$0.00 ,3,10,8,10,10,10,8,1,42.33925093,-71.15959684,Apartment,Entire home/apt,1,1,2,Real Bed,"['TV', 'Air Conditioning', 'Kitchen', 'Free Parking on Premises', 'Pets Allowed', 'Buzzer/Wireless Intercom', 'Heating', 'Washer', 'Dryer', 'Fire Extinguisher']",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
4662379,$450.00 ,$500.00 ,$250.00 ,$0.00 ,12,9,10,10,10,10,10,0.94,42.34771383,-71.1553971,House,Entire home/apt,2,4,8,Real Bed,"['Cable TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Free Parking on Premises', 'Heating', 'Family/Kid Friendly', 'Suitable for Events', 'Washer', 'Dryer', 'Smoke Detector', 'Carbon Monoxide Detector', 'Fire Extinguisher', 'Essentials', 'Shampoo', '24-Hour Check-in', 'Hangers', 'Hair Dryer', 'Iron', 'Laptop Friendly Workspace']",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
4687499,$103.00 ,$200.00 ,$60.00 ,$30.00 ,3,9,9,10,10,9,9,1.16,42.33000599,-71.11276647,Apartment,Private room,1.5,1,1,Real Bed,"['TV', 'Cable TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Buzzer/Wireless Intercom', 'Heating', 'Family/Kid Friendly', 'Washer', 'Dryer', 'Smoke Detector', 'Carbon Monoxide Detector', 'First Aid Kit', 'Fire Extinguisher', 'Essentials', 'Shampoo']",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
4699828,$160.00 ,$100.00 ,$150.00 ,$0.00 ,6,10,10,10,10,9,9,1.78,42.25486441,-71.12736661,Apartment,Entire home/apt,2,2,2,Real Bed,"['TV', 'Cable TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Free Parking on Premises', 'Gym', 'Breakfast', 'Buzzer/Wireless Intercom', 'Heating', 'Family/Kid Friendly', 'Washer', 'Dryer', 'Smoke Detector', 'Carbon Monoxide Detector', 'First Aid Kit', 'Fire Extinguisher', 'Essentials', 'Shampoo', '24-Hour Check-in', 'Hangers', 'Hair Dryer', 'Iron', 'Laptop Friendly Workspace']",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
4787213,$109.00 ,$250.00 ,$30.00 ,$0.00 ,4,10,10,9,10,9,10,0.47,42.33185849,-71.11195581,Apartment,Entire home/apt,1,1,2,Real Bed,"['TV', 'Cable TV', 'Internet', 'Wireless Internet', 'Air Conditioning', 'Kitchen', 'Breakfast', 'Heating', 'Family/Kid Friendly', 'Washer', 'Dryer', 'Smoke Detector', 'Carbon Monoxide Detector', 'First Aid Kit', 'Essentials', '24-Hour Check-in', 'Hair Dryer', 'Iron', 'Laptop Friendly Workspace']",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
